Species,CommonName,ReviewID,MetaSiteID,Duplicate,Publication.Year,Radius,Sampling,Sampling Technique,Activities,Sat F,Sat M,Sat U,Sat A,Sat AB,Sat AI,Sat I,Sat J,Sat Sub,Sat Unk,F,M,U,A,AB,AI,I,J,SUB,UNK,Basin,Long,Lat,N. Pub
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,AO,TRUE,2013,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,3,,,3,,,,,,,ATL,-82.8,24.6,1
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,CF,FALSE,2013,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,2,,,2,,,,,,,ATL,-81.4,25.2,1
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,CF,FALSE,2013,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,ATL,-80.25,25.25,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,AK,TRUE,2015,1,Argos,Satellite Telemetry,NES,22,,,,22,,,,,,22,,,,22,,,,,,ATL,33.78,35.5,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,AP,FALSE,2015,1,Argos,Satellite Telemetry,NES,8,,,,8,,,,,,8,,,,8,,,,,,ATL,35.7,36.7,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,AQ,TRUE,2015,1,Argos,Satellite Telemetry,NES,3,,,,3,,,,,,3,,,,3,,,,,,ATL,34.7,32.1,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,AR,FALSE,2015,1,Argos,Satellite Telemetry,NES,1,,,,1,,,,,,1,,,,1,,,,,,ATL,35.7,35.5,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,CL,FALSE,2015,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,4,,,4,,,,,,,ATL,30.98,36.55,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,CL,TRUE,2015,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,ATL,32.84,34.63,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,CL,TRUE,2015,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,ATL,34.3,36.6,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,CL,FALSE,2015,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,2,,,2,,,,,,,ATL,35.81,34.45,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,CR,FALSE,2015,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,8,,,8,,,,,,,ATL,23.13,32.62,1
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,CR,FALSE,2015,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,ATL,25.24,31.75,1
